date,cpu_usage,memory_usage
2025-07-25 11:27:26.962512,22.0,87.0
2025-07-25 11:27:31.962512,22.0,87.0
2025-07-25 11:27:36.962512,22.0,87.0
2025-07-25 11:27:41.962512,22.0,87.0
2025-07-25 11:35:20.284132,23.9,86.4
2025-07-25 11:35:25.291404,18.9,86.1
2025-07-25 11:35:30.302610,18.9,86.4
2025-07-25 11:35:35.304867,15.9,85.9
2025-07-25 11:35:40.321375,17.0,86.1
2025-07-25 11:35:45.331071,19.3,85.7
2025-07-25 11:35:50.342419,19.1,86.8
2025-07-25 11:35:55.355367,25.9,84.1
2025-07-25 11:36:00.362485,22.5,84.6
2025-07-25 11:36:05.364937,16.8,84.3
2025-07-25 11:36:10.376300,25.7,84.3
2025-07-25 11:36:15.382447,30.7,83.9
2025-07-25 11:36:20.387622,15.3,83.9
2025-07-25 11:36:25.396475,47.6,84.0
2025-07-25 11:36:30.402615,31.1,84.6
2025-07-25 11:36:35.408454,32.0,84.6
2025-07-25 11:36:40.409319,20.1,84.8
2025-07-25 11:36:45.418849,15.0,85.0
2025-07-25 11:36:50.422617,16.7,84.9
2025-07-25 11:36:55.425828,18.1,85.0
2025-07-25 11:37:00.433597,15.3,85.1
2025-07-25 11:37:05.438584,19.5,85.1
2025-07-25 11:37:10.441166,15.1,85.5
2025-07-25 11:37:15.450600,13.1,84.6
2025-07-25 11:37:20.454409,17.5,83.7
2025-07-25 11:37:25.457563,14.0,82.9
2025-07-25 11:37:30.461598,17.6,82.3
2025-07-25 11:37:35.471967,16.8,82.3
2025-07-25 11:37:40.480412,15.4,82.4
2025-07-25 11:37:45.482037,17.9,82.4
2025-07-25 11:37:50.491123,16.5,82.4
2025-07-25 11:37:55.497966,14.1,82.4
2025-07-25 11:38:00.500470,19.9,82.0
2025-07-25 11:38:05.510907,15.1,82.0
2025-07-25 11:38:10.515294,15.7,82.1
2025-07-25 11:38:15.520652,18.3,82.0
2025-07-25 11:38:20.524685,17.8,82.3
2025-07-25 11:38:25.530774,17.7,82.3
2025-07-25 11:38:30.538754,18.0,82.2
2025-07-25 11:38:35.541611,14.8,82.4
2025-07-25 11:38:40.547060,16.7,82.2
2025-07-25 11:38:45.553417,15.9,82.3
2025-07-25 11:38:50.559518,17.1,82.5
2025-07-25 11:38:55.560315,18.5,82.3
2025-07-25 11:39:00.567182,16.0,82.5
2025-07-25 11:39:05.575753,18.4,82.5
2025-07-25 11:39:10.582288,18.0,82.6
2025-07-25 11:39:15.585258,15.5,82.6
2025-07-25 11:39:20.594145,17.0,84.3
2025-07-25 11:39:25.597569,16.2,84.2
2025-07-25 11:39:30.604743,18.8,84.0
2025-07-25 11:39:35.610822,20.3,83.8
2025-07-25 11:39:40.619506,16.0,84.0
2025-07-25 11:39:45.620895,26.2,85.5
2025-07-25 11:39:50.628423,20.6,85.4
2025-07-25 11:39:55.640399,16.1,85.3
2025-07-25 11:40:00.649125,20.8,84.9
2025-07-25 11:40:05.660288,17.7,84.8
2025-07-25 11:40:10.662457,25.0,85.4
2025-07-25 11:40:15.675137,20.3,84.8
2025-07-25 11:43:09.678451,23.3,86.7
2025-07-25 11:43:14.681609,15.3,86.6
2025-07-25 11:43:19.691855,19.8,86.5
2025-07-25 11:43:24.700325,19.7,86.5
2025-07-25 11:43:29.701777,20.0,86.5
2025-07-25 11:43:34.708221,18.4,86.5
2025-07-25 11:43:39.717989,15.4,86.5
2025-07-25 11:43:44.724054,27.3,86.7
2025-07-25 11:43:49.731968,27.0,87.1
2025-07-25 11:43:54.740605,23.7,85.5
2025-07-25 11:43:59.750521,26.8,85.6
2025-07-25 11:44:04.753947,16.3,85.4
2025-07-25 11:44:09.766315,19.6,85.3
2025-07-25 11:44:14.779039,19.5,85.8
2025-07-25 11:44:19.782318,29.7,85.9
2025-07-25 11:44:24.798499,23.4,85.7
2025-07-25 11:44:29.810861,23.8,85.4
2025-07-25 11:44:34.824926,19.6,85.6
2025-07-25 11:44:39.830512,22.2,85.8
2025-07-25 11:44:44.836498,24.8,85.6
2025-07-25 11:44:49.843168,25.4,86.0
2025-07-25 11:44:54.849795,23.9,86.1
2025-07-25 11:44:59.851467,14.6,86.0
2025-07-25 11:45:04.866327,19.8,86.5
2025-07-25 11:45:09.873776,25.6,86.4
2025-07-25 11:45:14.875083,18.7,86.7
2025-07-25 11:45:19.888568,59.5,91.4
2025-07-25 11:45:24.895191,56.1,91.5
2025-07-25 11:45:29.898091,27.2,91.0
2025-07-25 11:45:34.907571,28.3,91.7
2025-07-25 11:45:39.912590,15.6,91.6
2025-07-25 11:45:44.921484,20.7,91.8
2025-07-25 11:45:49.925030,31.4,90.8
